Dia,Cliente,Contenedor,Estado,Envase,alerta_enviada,BL,hora
2025-05-20,Mercovan Argentina Srl,TLLU-209190-0,09:47 Realizado,Bultos,1,NVT013471RCS        ,
2025-05-20,Vc Textil Srl,EGHU-962136-2,09:44 Realizado,Contenedor,1,JCCM32296           ,
2025-05-20,Syra S.A.,MRKU-939253-9,10:47 Realizado,Contenedor,1,                    ,
2025-05-20,Sk Distributors S.R.L.,CLHU-472748-0,11:44 Realizado,Contenedor,1,251372219           ,
2025-05-21,Presmar S.A.,MRKU-774866-2,08:20 Realizado,Contenedor,1,                    ,
2025-05-21,Sk Distributors S.R.L.,OOCU-504096-4,08:18 Realizado,Contenedor,1,                    ,
2025-05-21,Bisora Group Sa,TLLU-794633-6,08:18 Realizado,Contenedor,1,251372219           ,
2025-05-21,Gobbi Novag Sa,TRLU-751387-2,08:20 Realizado,Pallets,1,AMC2347566          ,
2025-05-21,Textil Praga Srl,EGSU-131747-0,08:32 Realizado,Rollos,1,HDE25-040002A/B     ,
2025-05-21,Mercovan Argentina Srl,PCIU-012199-6,08:45 Realizado,Bultos,1,SEL500063800        ,
2025-05-21,Grouport Srl,MSDU-435235-5,09:05 Realizado,Bultos,1,S04592391           ,
2025-05-21,Luial Sa,EISU-927723-3,08:44 Realizado,Contenedor,1,252195212           ,
2025-05-21,Jupam Sa,TXGU-613930-5,08:41 Realizado,Contenedor,1,252195212           ,
2025-05-21,Jupam Sa,EMCU-821962-5,08:40 Realizado,Contenedor,1,252195212           ,
2025-05-21,Aceptyourdestiny Sa,EMCU-170106-5,10:15 Realizado,Contenedor,1,                    ,
2025-05-22,Jupam Sa,EGSU-957910-0,08:24 Realizado,Contenedor,1,SY250357826         ,
2025-05-22,Jupam Sa,BSIU-802589-3,08:23 Realizado,Contenedor,1,                    ,
2025-05-22,Sk Distributors S.R.L.,CCLU-529361-8,08:21 Realizado,Contenedor,1,                    ,
2025-05-22,La Tela Srl,MSCU-498760-3,08:32 Realizado,Contenedor,1,XMFZ2503003A/B/C/D/E,
2025-05-22,La Tela Srl,FBLU-016836-3,08:31 Realizado,Contenedor,1,XMFZ2503003A/B/C/D/E,
2025-05-23 00:00:00,Jupam Sa,ONEU-021420-4,08:08 Realizado,Rollos,1,NB240948328         ,
2025-05-23 00:00:00,Jupam Sa,TCNU-785374-1,08:08 Realizado,Contenedor,1,251372219           ,
2025-05-23 00:00:00,Jupam Sa,TIIU-507175-8,08:09 Realizado,Contenedor,1,JCCM32296           ,
2025-05-23 00:00:00,Industrias Saladillo S.A.,ZIMU-143152-6,08:19 Realizado,Pallets,1,TPNGBSG24106008     ,
2025-05-23 00:00:00,Industrias Saladillo S.A.,TGBU-251863-2,08:24 Realizado,Pallets,1,TPNGBSG24106033     ,
2025-05-23 00:00:00,Industrias Saladillo S.A.,ZCSU-877997-8,08:21 Realizado,Pallets,1,TPNGBSG24116024     ,
2025-05-23 00:00:00,Industrias Saladillo S.A.,TIIU-640414-9,08:14 Realizado,Pallets,1,TPNGBSG24116007     ,
2025-05-23 00:00:00,Industrias Saladillo S.A.,TEMU-750540-6,08:19 Realizado,Pallets,1,ONEYNB4IVF532600    ,
2025-05-23 00:00:00,Industrias Saladillo S.A.,BMOU-274034-8,08:16 Realizado,Pallets,1,TPNGBSG24126031     ,
2025-05-23 00:00:00,Edelweiss Spedition Srl,HAMU-103253-7,09:17 Realizado,Bultos,1,HLCUBO2250354290    ,
2025-05-23 00:00:00,Vc Textil Srl,BEAU-508654-0,10:02 Realizado,Contenedor,1,                    ,
2025-05-23 00:00:00,Moniport Cargo Sa,MSDU-636578-9,10:24 Realizado,Bultos,1,MEDUOJ135864        ,
2025-05-23 00:00:00,Jupam Sa,ONEU-092318-0,11:52 Realizado,Contenedor,1,251372219           ,
2025-05-26 00:00:00,Mercovan Argentina Srl,HLXU-540840-3,08:37 Realizado,Bultos,1,HLCUME3250160081    ,
2025-05-26 00:00:00,Jupam Sa,TCNU-522923-2,08:35 Realizado,Rollos,1,NB240848061         ,
2025-05-26 00:00:00,Jupam Sa,ONEU-109744-2,08:31 Realizado,Rollos,1,NB240949474         ,
2025-05-26 00:00:00,La Tela Srl,TRHU-860594-9,08:39 Realizado,Contenedor,1,XMFZ2503003A/B/C/D/E,
2025-05-26 00:00:00,Ascensores Servas Sa,MRSU-750477-7,08:45 Realizado,Bultos,1,25SHA0191961        ,
2025-05-26 00:00:00,Ascensores Servas Sa,MRSU-748371-4,08:45 Realizado,Bultos,1,25SHA0191961        ,
2025-05-26 00:00:00,Edelweiss Spedition Srl,FTAU-122981-4,08:38 Realizado,Bultos,1,HLCUBO2250308193    ,
2025-05-26 00:00:00,Mecanizados Gabriel S.A.,TCLU-470204-5,10:21 Realizado,Bultos,1,XMFZ2503003A/B/C/D/E     ,
2025-05-27 00:00:00,Lift Van Int. Co S.A,MSDU-472068-9,10:09 Realizado,Bultos,1,10875013            ,
2025-05-28 00:00:00,Mercovan Argentina Srl,HLBU-356069-9,13:47 Realizado,Bultos,1,HLCUPTY250345961    ,
2025-05-28 00:00:00,Skinland S.R.L.,TCLU-470204-5,13:39 Realizado,Bultos,1,XMFZ2503003A/B/C/D/E,
2025-05-28 00:00:00,Kompass S.R.L.,TCLU-470204-5,13:39 Realizado,Bultos,1,XMFZ2503003A/B/C/D/E,
2025-05-29 00:00:00,Mma Tex S.A.,CAAU-571342-5,08:20 Realizado,Contenedor,1,EBKG12899876        ,
2025-05-29 00:00:00,Jupam Sa,GAOU-624476-7,08:29 Realizado,Contenedor,1,252086205           ,
2025-05-29 00:00:00,Lift Van Int. Co S.A,HLXU-357086-3,08:36 Realizado,Bultos,1,HLCUBSC2503CDTO9    ,
2025-05-29 00:00:00,Lam Wang Cheung,TCLU-470204-5,09:20 Realizado,Bultos,1,XMFZ2503003A/B/C/D/E,
2025-05-29 00:00:00,Angel Humberto Salazar,TCLU-470204-5,09:20 Realizado,Bultos,1,XMFZ2503003A/B/C/D/E,
2025-05-29 00:00:00,Cl Global S.R.L.,TCLU-470204-5,09:20 Realizado,Bultos,1,XMFZ2503003A/B/C/D/E,
2025-05-30 00:00:00,Raisvic S.R.L.,TGBU-457918-0,08:27 Realizado,Contenedor,1,EBKG12899876        ,
2025-05-30 00:00:00,Sergio Gabriel Vazquez,TEMU-432037-4,10:26 Realizado,Bultos,1,QGD1659738          ,
2025-06-02 00:00:00,Mercovan Argentina Srl,SUDU-795258-4,12:01 Realizado,Bultos,1,APU129820           ,12:01
2025-06-03 00:00:00,Lift Van Int. Co S.A,CAIU-320520-1,11:47 Realizado,Bultos,1,HLCUBC1250316913    ,11:47
2025-06-03 00:00:00,Rush Cargo Srl,CBHU-448474-9,12:50 Realizado,Bultos,1,COSU6412122980      ,12:50
2025-06-03 00:00:00,Lift Van Int. Co S.A,NYKU-474643-0,18:31 Realizado,Bultos,1,ONEYRICFE9515800    ,18:31
2025-06-04 00:00:00,Raisvic S.R.L.,BMOU-537725-7,09:17 Realizado,Contenedor,1,,09:17
2025-06-04 00:00:00,Ledorot S.A.,TEMU-699863-2,10:18 Realizado,Contenedor,1,35724365,10:18
2025-06-04 00:00:00,Lift Van Int. Co S.A,DRYU-428677-0,09:43 Realizado,Contenedor,1,,09:43
2025-06-04 00:00:00,Grupo Simpa Sa,ZCSU-610934-4,11:09 Realizado,Contenedor,1,,11:09
2025-06-04 00:00:00,Grupo Simpa Sa,LATU-500014-2,11:09 Realizado,Contenedor,1,,11:09
2025-06-04 00:00:00,Grupo Simpa Sa,BEAU-512377-2,11:09 Realizado,Contenedor,1,,11:09
2025-06-04 00:00:00,Curtiembre Infante Sa,MRKU-881096-9,14:02 Realizado,Pallets,1,249002118,14:02
2025-06-04 00:00:00,Juguetech Sa,MSMU-806162-6,14:27 Realizado,Contenedor,1,,14:27
2025-06-04 00:00:00,Juguetech Sa,MSMU-545541-5,14:27 Realizado,Contenedor,1,253436147,14:27
2025-06-04 00:00:00,Mercovan Argentina Srl,CMAU-831928-3,15:03 Realizado,Bultos,1,IBC1321824,15:03
2025-06-05 00:00:00,Cotton Work Srl,GESU-134633-2,12:20 Realizado,Bultos,1,MEDUVO723997,12:20
2025-06-05 00:00:00,Lift Van Int. Co S.A,MSMU-349070-0,15:09 Realizado,Bultos,1,MEDUXF297246,15:09
2025-06-05 00:00:00,Jupam Sa,TLLU-489610-2,15:08 Realizado,Contenedor,1,SSZ115051RCS,15:08
2025-06-05 00:00:00,Jupam Sa,TLLU-599260-4,15:09 Realizado,Contenedor,1,SSZ115051RCS,15:09
2025-06-05 00:00:00,Jupam Sa,EITU-163226-9,15:32 Realizado,Contenedor,1,HDE25-040003A/B,15:32
2025-06-05 00:00:00,Ledorot S.A.,CAAU-590800-5,16:14 Realizado,Contenedor,1,,16:14
2025-06-05 00:00:00,Mercovan Argentina Srl,SEGU-364018-7,18:30 Realizado,Bultos,1,HLUSPIL250300027,18:30
2025-06-05 00:00:00,Mercovan Argentina Srl,CSNU-628936-0,18:30 Realizado,Bultos,1,OOLU2306156030,18:30
2025-06-05 00:00:00,Grupo Leal-Tex S.R.L.,FFAU-166016-7,18:51 Realizado,Contenedor,1,SEA30/2504-0086A,18:51
2025-06-06 00:00:00,Jupam Sa,TCLU-845734-7,08:59 Realizado,Contenedor,1,HDE25-040003A/B,08:59
2025-06-06 00:00:00,La Tela Srl,MEDU-879453-2,09:59 Realizado,Contenedor,1,,09:59
2025-06-06 00:00:00,Grouport Srl,DFSU-436305-5,09:58 Realizado,Bultos,1,TCQD2502142,09:58
2025-06-06 00:00:00,Leanval S.A.,MRSU-699011-8,10:20 Realizado,Bultos,1,GGLFE24110056,10:20
2025-06-06 00:00:00,Lift Van Int. Co S.A,UACU-833760-7,15:38 Realizado,Bultos,1,HLCUSS5250448191,15:38
2025-06-09 00:00:00,Rb Global Srl,MSNU-804602-9,11:04 Realizado,Contenedor,1,2GEO5030240,11:04
2025-06-09 00:00:00,Bisora Group Sa,TGBU-584955-2,11:04 Realizado,Contenedor,1,,11:04
2025-06-09 00:00:00,Awam Tex Srl,MSDU-537016-3,11:04 Realizado,Contenedor,1,25105820,11:04
2025-06-09 00:00:00,Chemotecnica Sa,ONEU-043118-0,12:27 Realizado,Contenedor,1,25105820,12:27
2025-06-09 00:00:00,Chemotecnica Sa,ONEU-075481-4,12:27 Realizado,Contenedor,1,25105820,12:27
2025-06-09 00:00:00,Jupam Sa,PCIU-911820-5,16:10 Realizado,Contenedor,1,HDE25-040003A/B,16:10
2025-06-09 00:00:00,Jupam Sa,PCIU-879416-5,16:10 Realizado,Contenedor,1,HDE25-040003A/B,16:10
2025-06-09 00:00:00,Jupam Sa,PCIU-948717-9,16:10 Realizado,Contenedor,1,HDE25-040003A/B,16:10
2025-06-09 00:00:00,Jupam Sa,PCIU-849354-1,16:10 Realizado,Contenedor,1,HDE25-040003A/B,16:10
2025-06-10 00:00:00,Compañia Bulk S.A.,EMCU-161271-2,09:31 Realizado,Contenedor,1,HDE25-040008A/B,09:31
2025-06-10 00:00:00,La Tela Srl,MSMU-580481-5,09:43 Realizado,Contenedor,1,25105820,09:43
2025-06-10 00:00:00,La Tela Srl,TCLU-787917-9,11:19 Realizado,Contenedor,1,,11:19
2025-06-10 00:00:00,Jupam Sa,GLDU-907073-5,14:31 Realizado,Contenedor,1,HDE25-040003A/B,14:31
2025-06-10 00:00:00,Pantografos Cam Cnc S.A.S,CMAU-535957-5,14:33 Realizado,Bultos,1,2GEO5030001,14:33
2025-06-10 00:00:00,Pantografos Cam Cnc S.A.S,OOLU-054618-0,14:33 Realizado,Bultos,1,2GEO5030240,14:33
2025-06-10 00:00:00,Pantografos Cam Cnc S.A.S,TGBU-777059-1,14:33 Realizado,Bultos,1,2GEO5030240,14:33
2025-06-11 00:00:00,Compañia Bulk S.A.,TCLU-782794-0,10:29 Realizado,Contenedor,1,HDE25-040008A/B,10:29
2025-06-11 00:00:00,Compañia Bulk S.A.,ONEU-019573-7,10:29 Realizado,Contenedor,1,HDE25-040008A/B,10:29
2025-06-11 00:00:00,Jakytextil S.A.,HAMU-416927-2,11:16 Realizado,Contenedor,1,,11:16
2025-06-11 00:00:00,Chemotecnica Sa,TCLU-655337-8,11:19 Realizado,Pallets,1,VER250479-1,11:19
2025-06-11 00:00:00,Kraster Argentina Sa,HMMU-643528-0,14:46 Realizado,Contenedor,1,252019245,14:46
2025-06-12 00:00:00,Raisvic S.R.L.,EMCU-182703-2,10:05 Realizado,Rollos,1,HDE25-040041A/B,10:05
2025-06-12 00:00:00,Grouport Srl,PCIU-020309-7,10:05 Realizado,Bultos,1,SYNTAO24SE070474,10:05
2025-06-12 00:00:00,Compañia Bulk S.A.,ONEU-031869-9,10:04 Realizado,Contenedor,1,HDE25-040008A/B,10:04
2025-06-12 00:00:00,Fenisan S.A.,HASU-117095-0,10:06 Realizado,Contenedor,1,EBKG13032743,10:06
2025-06-12 00:00:00,Fenisan S.A.,HASU-402529-8,10:06 Realizado,Contenedor,1,EBKG13032743,10:06
2025-06-12 00:00:00,Raisvic S.R.L.,FFAU-487575-0,10:05 Realizado,Rollos,1,HDE25-040010,10:05
2025-06-12 00:00:00,Telamania Srl,MSDU-751794-7,11:14 Realizado,Contenedor,1,25105820,11:14
2025-06-12 00:00:00,Glamtex S.A.,MSMU-687008-8,12:34 Realizado,Contenedor,1,263965321,12:34
2025-06-12 00:00:00,Jupam Sa,TXGU-569981-4,12:34 Realizado,Contenedor,1,,12:34
2025-06-12 00:00:00,Jupam Sa,ONEU-122877-4,16:53 Realizado,Contenedor,1,HDE25-040003A/B,16:53
2025-06-12 00:00:00,Jupam Sa,FFAU-184772-8,16:53 Realizado,Contenedor,1,HDE25-040003A/B,16:53
2025-06-12 00:00:00,Jupam Sa,SEKU-440241-8,16:53 Realizado,Contenedor,1,HDE25-040003A/B,16:53
2025-06-12 00:00:00,Jupam Sa,MRKU-415762-4,16:53 Realizado,Contenedor,1,,16:53
2025-06-12 00:00:00,Jupam Sa,MSKU-088658-0,16:53 Realizado,Contenedor,1,SSZ115051RCS,16:53
2025-06-12 00:00:00,Jupam Sa,NYKU-472303-3,16:53 Realizado,Contenedor,1,HDE25-040003A/B,16:53
2025-06-13 00:00:00,Textil Praga Srl,BMOU-545334-1,15:34 Realizado,Rollos,1,HDE25-040014A/B,15:34
2025-06-13 00:00:00,Textil Praga Srl,BMOU-544952-6,15:34 Realizado,Rollos,1,HDE25-040008A/B,15:34
2025-06-13 00:00:00,Textil Praga Srl,TCNU-212440-7,15:34 Realizado,Rollos,1,HDE25-040003A/B,15:34
2025-06-17 00:00:00,Jupam Sa,EMCU-890304-7,09:55 Realizado,Contenedor,1,TCQD2503136,09:55
2025-06-17 00:00:00,Aceptyourdestiny Sa,EITU-144155-5,11:28 Realizado,Contenedor,1,,11:28
2025-06-17 00:00:00,Sematryn Sa,OOCU-762371-8,11:32 Realizado,Bultos,1,OLGM246301,11:32
2025-06-17 00:00:00,Refractarios Argentinos Saicm,MRKU-890029-7,14:44 Realizado,Bultos,1,263965321,14:44
2025-06-18 00:00:00,Dmc Import Group S.R.L.,EGSU-141833-1,09:20 Realizado,Contenedor,1,,09:20
2025-06-18 00:00:00,Grupo Rsm Srl,MRKU-358448-9,10:50 Realizado,Bultos,1,252529836,10:50
2025-06-19 00:00:00,Compañia Bulk S.A.,TGHU-658014-0,09:16 Realizado,Contenedor,1,EBKG13032743,09:16
2025-06-19 00:00:00,Aceros Fb S.R.L.,MRKU-292715-6,10:08 Realizado,Bultos,1,JCCM32296,10:08
2025-06-19 00:00:00,Neumaticos Bisso Srl,TEMU-867944-4,10:50 Realizado,Contenedor,1,HDE25-040032A/B,10:50
2025-06-19 00:00:00,Xiadex Srl,CAIU-875488-4,13:11 Realizado,Contenedor,1,NGBSE2504035,13:11
2025-06-19 00:00:00,Pantografos Cam Cnc S.A.S,PCIU-949715-6,16:00 Realizado,Bultos,1,2QE05030619,16:00
2025-06-19 00:00:00,Jupam Sa,EGSU-184158-0,16:10 Realizado,Contenedor,1,,16:10
2025-06-19 00:00:00,Jupam Sa,BSIU-810039-0,16:10 Realizado,Contenedor,1,,16:10
2025-06-19 00:00:00,Fedtex S.R.L,EGHU-968527-0,16:30 Realizado,Contenedor,1,,16:30
2025-06-19 00:00:00,Lift Van Int. Co S.A,TGHU-524470-6,20:13 Realizado,Bultos,1,ZIMUNYC9096546,20:13
2025-06-23 00:00:00,Bisora Group Sa,TCNU-814502-7,14:58 Realizado,Contenedor,1,HLCUBSC2504CKUZ2,14:58
2025-06-23 00:00:00,Bisora Group Sa,TCNU-257082-0,14:58 Realizado,Contenedor,1,HLCUBSC2504CKUZ2,14:58
2025-06-23 00:00:00,Bisora Group Sa,TRHU-537057-9,14:59 Realizado,Contenedor,1,EBKG13130443,14:59
2025-06-23 00:00:00,Textil Praga Srl,EITU-900781-7,15:38 Realizado,Rollos,1,HDE25-040011A/B,15:38
2025-06-23 00:00:00,Jupam Sa,TGBU-672481-6,15:43 Realizado,Contenedor,1,EBKG13130443,15:43
2025-06-23 00:00:00,Jupam Sa,EGHU-977168-1,15:43 Realizado,Contenedor,1,EBKG13130443,15:43
2025-06-23 00:00:00,Textil Praga Srl,BMOU-537427-9,18:02 Realizado,Rollos,1,HDE25-030059A/B,18:02
2025-06-24 00:00:00,Compañia Bulk S.A.,EITU-117993-3,09:31 Realizado,Contenedor,1,,09:31
2025-06-24 00:00:00,Dmc Import Group S.R.L.,GAOU-724267-1,09:31 Realizado,Contenedor,1,EBKG13130443,09:31
2025-06-24 00:00:00,Bisora Group Sa,MSKU-070573-7,10:16 Realizado,Contenedor,1,HLCUBSC2504CKUZ2,10:16
2025-06-24 00:00:00,Jutel S.A.,MSMU-792553-9,10:57 Realizado,Contenedor,1,HLCUBSC2504CKUZ2,10:57
2025-06-24 00:00:00,Trefelt Argentina S.A.,MRSU-748396-7,11:29 Realizado,Bultos,1,252725355,11:29
2025-06-24 00:00:00,Trefelt Argentina S.A.,MRSU-748395-1,11:29 Realizado,Bultos,1,252725355,11:29
2025-06-24 00:00:00,Glamtex S.A.,HAMU-270651-5,14:06 Realizado,Contenedor,1,EBKG13130443,14:06
2025-06-24 00:00:00,Jupam Sa,TEMU-715682-9,15:08 Realizado,Contenedor,1,EBKG13130443,15:08
2025-06-24 00:00:00,Xiadex Srl,TCLU-184339-5,18:54 Realizado,Contenedor,1,,18:54
2025-06-25 00:00:00,Industrias Saladillo S.A.,TLLU-254412-3,10:20 Realizado,Pallets,1,TPNGBSG25016008,10:20
2025-06-25 00:00:00,La Tela Srl,MRSU-480620-1,10:48 Realizado,Contenedor,1,,10:48
2025-06-25 00:00:00,Fantasia Cueros Srl,HDMU-555698-8,12:19 Realizado,Pallets,1,HDMUTSNM07489700,12:19
2025-06-26 00:00:00,Raisvic S.R.L.,EMCU-170461-3,12:44 Realizado,Contenedor,1,EBKG13190366,12:44
2025-06-26 00:00:00,Sanyo Color Sa,MRSU-672886-0,12:48 Realizado,Pallets,1,252254646,12:48
2025-06-26 00:00:00,Bisora Group Sa,MSDU-542530-6,12:48 Realizado,Contenedor,1,NGBSE2504035,12:48
2025-06-26 00:00:00,Unops,MSKU-076976-8,12:48 Realizado,Bultos,1,,12:48
2025-06-26 00:00:00,Ilatex Sa,MSKU-060029-5,12:48 Realizado,Contenedor,1,HLCUDX3250242293,12:48
2025-06-26 00:00:00,Caisen Srl,MSKU-076976-8,12:48 Realizado,Bultos,1,,12:48
2025-06-26 00:00:00,Shipy S.A.,DRYU-955118-3,12:47 Realizado,Contenedor,1,EBKG13190366,12:47
2025-06-26 00:00:00,Shipy S.A.,TGBU-702767-3,12:47 Realizado,Contenedor,1,EBKG13190366,12:47
2025-06-26 00:00:00,Lidera Group Srl,TRHU-760315-5,14:30 Realizado,Contenedor,1,,14:30
