Dia,Cliente,Operacion,Booking,Contenedor,Volumen,Precinto,Observaciones,Estado,Hora,e-tally
19/11,Henn Y Cia S.R.L.,39483-0-1,91533185,FANU-150859-0,0.0,*************       ,EXOLGAN  16HS,17:47 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27830
19/11,Hdv Leather S.R.L.,39497-0-1,EBKG14843116,MSBU-651252-1,0.0,FX32921915          ,EXOLGAN 16HS,16:42 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27840
19/11,Henn Y Cia S.R.L.,39498-0-1,91533185,HLBU-289556-9,0.0,**************      ,EXOLGAN  16HS,17:47 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27832
19/11,Hdv Leather S.R.L.,39496-0-1,EBKG14843116,MSDU-543336-4,0.0,FX32921974          ,EXOLGAN 16HS,16:42 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27839
19/11,Henn Y Cia S.R.L.,39493-0-1,91533185,FANU-142631-6,0.0,******************  ,EXOLGAN  10HS,17:47 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27831
20/11,Borax Argentina S A,39514-0-1,14066084,TLLU-256299-7,0.0,******************  ,EXOLGAN   13HS,17:14 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27851
20/11,Borax Argentina S A,39524-0-1,14066084,HLBU-374346-8,0.0,***************     ,EXOLGAN  13HS,17:14 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27852
20/11,Borax Argentina S A,39513-0-1,14066084,TEMU-165211-7,0.0,*****************   ,EXOLGAN  13HS,17:14 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27850
20/11,Borax Argentina S A,39525-0-1,14066084,TEMU-484802-1,0.0,***************     ,EXOLGAN   13HS,17:14 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27853
20/11,Borax Argentina S A,39527-0-1,14066084,CAIU-682277-9,0.0,********************,EXOLGAN   13HS,17:14 Realizado,9:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27855
20/11,Borax Argentina S A,39528-0-1,14066084,GCXU-247338-7,0.0,***************     ,EXOLGAN  13HS,17:13 Realizado,9:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27856
20/11,Borax Argentina S A,39530-0-1,14066084,HLBU-363269-6,0.0,      **************,EXOLGAN  13HS,17:13 Realizado,9:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27857
20/11,Borax Argentina S A,39507-0-1,14066084,HLBU-173171-9,0.0,****************    ,EXOLGAN  13HS,17:11 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27846
20/11,Borax Argentina S A,39510-0-1,14066084,BMOU-144772-0,0.0,********************,EXOLGAN  13HS,17:14 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27848
20/11,Borax Argentina S A,39526-0-1,14066084,UACU-383885-9,0.0,********************,EXOLGAN  13HS,17:14 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27854
20/11,Borax Argentina S A,39508-0-1,14066084,HLXU-128656-5,0.0,*************       ,EXOLGAN   13HS,17:13 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27847
20/11,Borax Argentina S A,39532-0-1,14066084,TEMU-184901-9,0.0,****************    ,EXOLGAN  13HS,17:13 Realizado,9:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27858
20/11,Borax Argentina S A,39533-0-1,14066084,HLBU-386723-7,0.0,****************    ,EXOLGAN   13HS,17:13 Realizado,9:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27859
20/11,Elementa Foods S.A.,39557-0-1,EBKG14875622,MSDU-896651-5,0.0,FX32916517          ,EXOLGAN  10HS,12:04 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27867
20/11,Elementa Foods S.A.,39558-0-1,EBKG14875622,FFAU-157583-0,0.0,FX32916516          ,EXOLGAN  10HS,12:04 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27868
20/11,J. Llorente Y Cía. S...,39572-0-1,261550783,UETU-294717-1,0.0,**************      ,TERMINAL 4  15HS,17:15 Realizado,10:30,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27878
20/11,Seaside Logistic Sa,39562-0-1,261770865,CAIU-225736-6,0.0,      **************,TERMINAL 4  17HS,17:15 Realizado,10:30,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27873
20/11,Borax Argentina S A,39511-0-1,14066084,HLXU-124270-0,0.0,*****************   ,EXOLGAN  13HS,En curso,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27849
20/11,Elementa Foods S.A.,39561-0-1,EBKG14875622,CRSU-923289-4,0.0,FX32916527          ,EXOLGAN  10HS,12:04 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27869
20/11,Forestal Guarani Sa,39471-0-1,261211047,MSKU-969181-9,0.0,********************,TERMINAL 4   11HS,12:03 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27864
20/11,Mercovan Argentina S...,39560-0-1,22463591,TEMU-161843-1,0.0,***************     ,EXOLGAN   16HS,17:15 Realizado,9:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27863
20/11,Forestal Guarani Sa,39472-0-1,261211047,BEAU-518442-2,0.0,****************    ,TERMINAL 4  11HS,12:03 Realizado,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27865
20/11,Forestal Guarani Sa,39480-0-1,261211047,TCKU-693600-3,0.0,**************      ,TERMINAL 4  11HS,12:04 Realizado,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27866
21/11,Henn Y Cia S.R.L.,39587-0-1,  : 0                         ,HAMU-379737-7,0.0,****************    ,EXOLGAN  16HS,Pendiente,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27876
21/11,Lift Van Int. Co S.A,39522-0-1,  : 0                         ,HLBU-113273-1,0.0,****************    ,EXOLGAN  10HS,Pendiente,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27844
21/11,Lift Van Int. Co S.A,39586-0-1,  : 0                         ,CAIU-668808-4,0.0,***************     ,EXOLGAN  10HS,Pendiente,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27875
25/11,Delicia Maderas,39564-0-1,  : 0                         ,CMAU-588887-7,0.0,R8691237            ,TRP  09HS,Pendiente,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27860
25/11,Delicia Maderas,39574-0-1,  : 0                         ,CMAU-479657-0,0.0,R8691236            ,TRP   09HS,Pendiente,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27861
25/11,Pelama Chubut S.A.,39610-0-1,  : 0                         ,CSNU-142588-5,0.0,****************    ,TRP  11HS,Pendiente,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27884
25/11,Litoral Citrus S A,39556-0-1,  : 0                         ,OOCU-052494-5,0.0,******************* ,TRP  15HS,Pendiente,9:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27870
25/11,Lift Van Int. Co S.A,39609-0-1,  : 0                         ,SUDU-750042-9,0.0,ML-AR2540532        ,EXOLGAN  13HS,Pendiente,9:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27879
25/11,Mader Zu S.R.L.,39565-0-1,  : 0                         ,CBHU-942258-6,0.0,*************       ,TRP   11HS,Pendiente,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27874
25/11,Mader Zu S.R.L.,39555-0-1,  : 0                         ,OOCU-831632-0,0.0,*****************   ,TRP  11HS,Pendiente,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27872
25/11,Mader Zu S.R.L.,39554-0-1,  : 0                         ,OOLU-695638-8,0.0,********************,TRP  11HS,Pendiente,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27871
25/11,Mercovan Argentina S...,39559-0-1,  : 0                         ,TCKU-660521-6,0.0,******************* ,EXOLGAN  10HS,Pendiente,9:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27862
26/11,Mader Zu S.R.L.,39588-0-1,  : 0                         ,BSIU-930367-0,0.0,*************       ,TRP  15HS,Pendiente,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27881
26/11,Norfor Sa,39512-0-1,  : 0                         ,EISU-856686-4,0.0,******************* ,TRP  11HS,Pendiente,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27845
26/11,Curtiembre Infante S...,39631-0-1,  : 0                         ,PCIU-952501-0,0.0,***************     ,TRP  11HS,Pendiente,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27886
26/11,Curtiembre Infante S...,39630-0-1,  : 0                         ,PIDU-428958-0,0.0,**********          ,TRP  11HS,Pendiente,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27885
26/11,Mader Zu S.R.L.,39590-0-1,  : 0                         ,CSNU-653217-1,0.0,************        ,TRP  15HS,Pendiente,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27883
26/11,Mader Zu S.R.L.,39589-0-1,  : 0                         ,OOCU-725148-3,0.0,******************  ,TRP  15HS,Pendiente,8:30 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27882
27/11,Helvecia S.A.,39566-0-1,  : 0                         ,SEGU-504035-0,0.0,R8691233            ,TRP  09HS,Pendiente,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27880
27/11,Norfor Sa,39567-0-1,  : 0                         ,TGHU-926498-0,0.0,R8691235            ,TRP 09HS,Pendiente,8:00 ,http://dassa.mqbic.com/NewTallyExpoConsumo.php?id=27877
27/11,Asecor Srl,39638-0-1,  : 0                         ,MSMU-647054-3,0.0,FX32925842          ,EXOLGAN  16HS,Pendiente,8:00 ,
27/11,Isischu Srl,39639-0-1,  : 0                         ,MSNU-910839-9,0.0,FX32925830          ,EXOLGAN  16HS,Pendiente,8:00 ,
